,age,gender,pref_party,position,representative
50467,29,m,SP,1,False
50609,64,m,Mitte,5,False
50826,31,m,SP,6,False
50887,43,m,SP,5,True
50997, , ,GLP,3,False
51075,41,x,Mitte,5,False
51157,32,m,Keine,5,False
51330,43,m,Keine,1,False
51479,45,none,SP,2,False
51490,32,m,SVP,7,True
51548,33,m,FDP,5,True
51644,19,f,SP,1,True
51669,52,m,GLP,3,False
51854,35,m,SP,2,False
51883,33,m,GLP,3,False
51982,37,m,GLP,5,False
52169,31,m,Grüne,1,False
52189,29,m,FDP,5,False
52523,42,m,FDP, ,False
52554,44,m,Mitte,5,True
52630,39,m,Grüne,2,True
52660,40,m,GLP,4,False
52800,27,m,SP,1,False
53002,25,m,SP,1,False
53203,31,m,Keine,3,False
53311,65,f,EVP,3,True
53355,64,m,SP,2,False
53468,56,m,Keine,4,False
53509,26,m,Keine,6,False
53539,32,f,SP,2,True
53611,28,m,Grüne,1,False
53989,37,f,SP,2,False
54164,32,m,EVP,3,False
54251,30,m,FDP,5,False
54347,54,f,Mitte,5,False
54593,28,f,SP,3,False
54997,35,f,Keine,5,False
55159,44,m,SP,2,False
55224,51,m,Keine,3,False
55416,51,m,GLP,4,False
55538,32,m,GLP,5,False
55709,33,m,Grüne,5,True
55726,21,m,FDP,5,False
55937,32,m,Mitte,4,False
56071,41,m,GLP,5,False
56089,51,m,Keine,3,False
56098,44,f,GLP,4,False
56173,49,m,SP,3,False
56252,55,f,GLP,2,True
56288,29,m,SP,2,False
56576,23,m,SVP,5,True
56722,44,f,SP,2,True
56834,57,m,SVP,6,True
56871, ,m,Keine,2,False
56888,36,f,GLP,3,False
57898,28,m,Mitte,5,False
58188,29,m,FDP,6,False
58259,44,m,SP,3,False
58453,18,m,SVP,7,True
58569,57,f,SP,3,False
58573,49,m,FDP,5,True
58581,49,m,Keine,4,False
58604,39,m,FDP,4,False
58914,28,m,FDP,5,False
58917,40,m,Keine,5,False
58934,31,m,GLP,4,False
58950,46,m,GLP,3,True
59004,31,m,Keine,4,False
59040,27,m,SP,1,False
59271,70,f,SP,2,False
59516,38,m,SVP,7,True
59601,31,f,AL,1,False
59611,39,m,PdA, ,False
59640,32,f,Keine,2,False
59846,30,m,Mitte,2,False
60000,65,f,Mitte,3,False
60131,70,m,Mitte,4,True
60296,30,f,Grüne,1,False
60370,60,m,FDP,4,False
60489,47,m,FDP,6,False
60849,42,m,SP,1,False
60900,42,m,FDP,5,True
62070,37,m,SP,6,False
62104,37,m,SVP,5,True
62235,49,f,SP,2,True
62268,27,m,Grüne,2,False
62426,35,m,Keine,3,False
62624,33,m,FDP,5,False
62637,38,m,SP,2,False
62986,30,m,Keine,4,False
63005,21,m,Keine,1,False
63007,53,m,GLP,6,False
63083,39,f,GLP,3,False
63277,25,f,SP,2,True
63329,43,m,GLP,4,False
63408,30,m,Grüne,2,False
63781,38,m,Keine,2,False
63862,35,m,SP,1,False
63972,37,m,EVP,3,False
64270,55,f,GLP,3,False
64309, , ,SP,2,False
64363,33,f,SVP,6,True
64389,54,m,GLP,3,False
64422,79,m,SVP,7,True
64911,45,m,SVP,6,True
64999, , ,SVP,1,True
65021,53,f,Grüne,1,False
65088,44,f,GLP,4,False
65303,45,m,FDP, ,False
65394,40,f,SP,3,False
65517,48, ,AL,2,False
65710,26,m,GLP,3,False
66251,49,m,GLP,3,False
66566,67,m,GLP,4,False
66571,27,m,FDP,4,True
66597,45,m,Grüne,2,False
66670,27,m,GLP,4,True
66684,42,m,FDP,5,False
66877,35,m,Keine,3,False
66953,26,f,Mitte,3,True
67208,35,f,GLP,3,False
67329,65,m,Keine,5,False
67525,19,f,Grüne,2,True
67745,37,m,SP,1,False
68179,34,m,Keine,5,False
68285,24,m,GLP,3,False
68391, , ,SP,1,True
69162,69,m,Keine,3,False
69176,30,m,GLP,4,False
69429,37,m,AL,1,False
69446,16,m,MCG,6,False
69487,41,m,Keine,4,False
69559,33,m,Mitte,4,False
69744,59,m,AL,1,False
69918,63,f,FDP,6,False
69928,35,m,SP,3,True
70042,44,m,Mitte,2,False
70069,43,m,Andere,5,False
70094,29,f,GLP,3,False
70616,48,f,Grüne,1,False
71001,60,m,SVP,6,True
71061,34,m,SVP,6,True
71117,36,f,SP,3,False
71135,27,m,GLP,5,False
71178,36,m,EVP,4,False
71297,56,m,FDP,6,False
71688,28,m,SP,3,False
71856,54,m,Andere,4,False
72120,55,m,GLP,5,False
72210,69,m,FDP,6,False
72656,68,m,Keine,2,False
72919,45,m,Grüne,1,False
72967,47,m,FDP,4,False
73057,48,m,SP,3,False
73244,52,m,GLP,4,True
73774,42,m,Grüne,2,False
73868,22,f,Keine,4,False
74263,33,f,SP,2,False
74316,28,m,Keine,3,False
74346,31,m,SVP,6,True
74395,28,m,Mitte,3,False
74444,33,f,SP,2,True
74581,26,m,SVP,7,True
74738,34,m,GLP,3,False
74765,37,f,SP,2,False
75039,33,m,FDP,5,True
75059,39,m,SP,1,False
75512, , ,Keine,4,False
75588, , ,FDP,6,True
75593,39,m,Keine,5,False
75595,53,m,FDP,5,False
75713,74,m,GLP,3,False
75868,42,m,GLP,3,False
75871,22,m,Grüne,3,False
75916,47,m,GLP,3,False
76009,50,m,EVP,4,True
76303,73,m,SP,1,False
76812,52,f,Keine,4,False
76874,53,m,GLP, ,True
76953,38,f,SP,6,False
77082,40,m,Mitte,5,True
77100,73,m,Keine,4,False
77326, , ,SP,1,False
77523,29,m,Keine,2,False
77729,39,m,FDP,5,False
77907,32,m,FDP,4,False
78014,40,m,Mitte,5,False
78049,35,m,SP,1,False
78103,59,m,FDP,5,True
78132, , ,Keine,4,False
78160,27,m,GLP,2,True
78681,64,m,GLP,3,False
78800, ,f,SVP,6,True
78936,23,m,Mitte,4,False
79171,22,f,Keine,3,False
79211,41,m,GLP,3,True
79249,33,m,GLP,3,False
79582,53,f,Keine,4,False
79614,64,m,GLP,4,False
79615,38,m,AL,1,False
80567,18,m,Grüne,2,False
80840,56,f,Grüne,2,False
80922,51,m,Keine,4,False
80955,57,m,FDP,6,False
81092,32,m,FDP,5,False
81399,30,m,Grüne,2,False
81516,33,m,SP,2,False
81673,20,m,FDP,4,False
81790,35,m,Keine,3,False
81867,55,m,GLP,5,False
81934,35,m,FDP,6,False
81997,23,f,SP,3,False
82059,38,m,SVP,5,True
82072,53,none,SP,1,False
82346,42,m,GLP,3,True
82664,60,m,Keine,3,False
82721,27,f,GLP,3,False
82748, , ,FDP,5,False
82901,20,m,Mitte,4,False
83005,43,f,Grüne,3,True
83127,44,m,Andere,2,False
