candidates,party_short,color,list
1786,Die Mitte,#C56C46,Mitte
1787,Grüne,#008000,Grüne
1788,JSVP,#4F7942,SVP
1791,SVP,#4F7942,SVP
1822,GLP,#32CD32,GLP
1838,Parteilos,#888888,Übrige
1840,Übrige,#888888,Übrige
1845,SP,#FF0000,SP
1856,JG,#008000,Grüne
1868,FDP,#0000FF,FDP
1871,Grüne,#008000,Grüne
1883,SVP,#4F7942,SVP
1885,Grüne,#008000,Grüne
1893,SP,#FF0000,SP
1898,SP,#FF0000,SP
1904,SVP,#4F7942,SVP
1906,EDU,#00008B,EDU
1918,Die Mitte,#C56C46,Mitte
1919,GLP,#32CD32,GLP
1926,SP,#FF0000,SP
1927,GLP,#32CD32,GLP
1928,Übrige,#888888,Übrige
1929,Parteilos,#888888,Übrige
1932,GLP,#32CD32,GLP
1941,PdA,#888888,Übrige
1942,EVP,#FFA500,EVP
1946,EDU,#00008B,EDU
1947,Übrige,#888888,Übrige
1948,SP,#FF0000,SP
1955,Die Mitte,#C56C46,Mitte
1964,SVP,#4F7942,SVP
1980,Übrige,#888888,Übrige
1982,GLP,#32CD32,GLP
1994,SVP,#4F7942,SVP
2009,JSVP,#4F7942,SVP
2010,Grüne,#008000,Grüne
2011,JSVP,#4F7942,SVP
2019,SP,#FF0000,SP
2044,SP,#FF0000,SP
2046,PdA,#888888,Übrige
2048,Übrige,#888888,Übrige
2050,JM,#C56C46,Mitte
2055,Parteilos,#888888,Übrige
2057,Übrige,#888888,Übrige
2058,JM,#C56C46,Mitte
2060,EVP,#FFA500,EVP
2061,EDU,#00008B,EDU
2062,JGLP,#32CD32,GLP
2071,JGLP,#32CD32,GLP
2072,JG,#008000,Grüne
2078,JEVP,#FFA500,EVP
2081,JUSO,#FF0000,SP
2089,JG,#008000,Grüne
2096,Parteilos,#888888,Übrige
2097,JM,#C56C46,Mitte
2106,JFS,#0000FF,FDP
2111,Die Mitte,#C56C46,Mitte
2112,GLP,#32CD32,GLP
2129,EVP,#FFA500,EVP
2132,Grüne,#008000,Grüne
2150,SVP,#4F7942,SVP
2160,PdA,#888888,Übrige
2166,PdA,#888888,Übrige
2172,Grüne,#008000,Grüne
2174,Übrige,#888888,Übrige
2177,Grüne,#008000,Grüne
2187,Parteilos,#888888,Übrige
2189,GLP,#32CD32,GLP
2201,GLP,#32CD32,GLP
2217,Die Mitte,#C56C46,Mitte
2219,SP,#FF0000,SP
2232,GLP,#32CD32,GLP
2236,EVP,#FFA500,EVP
2241,Parteilos,#888888,Übrige
2245,SVP,#4F7942,SVP
2246,Grüne,#008000,Grüne
2253,SP,#FF0000,SP
2260,SVP,#4F7942,SVP
2263,Die Mitte,#C56C46,Mitte
2270,JEVP,#FFA500,EVP
2273,SVP,#4F7942,SVP
2274,JUSO,#FF0000,SP
2278,SP,#FF0000,SP
2281,GLP,#32CD32,GLP
2289,JM,#C56C46,Mitte
2293,SP,#FF0000,SP
2294,EDU,#00008B,EDU
2298,Grüne,#008000,Grüne
2312,SVP,#4F7942,SVP
2316,GLP,#32CD32,GLP
2320,SP,#FF0000,SP
2322,EVP,#FFA500,EVP
2324,Übrige,#888888,Übrige
2331,GLP,#32CD32,GLP
2334,SVP,#4F7942,SVP
2338,SVP,#4F7942,SVP
2339,EVP,#FFA500,EVP
2341,Grüne,#008000,Grüne
2346,Grüne,#008000,Grüne
2355,Übrige,#888888,Übrige
2367,Grüne,#008000,Grüne
2371,GLP,#32CD32,GLP
2378,Die Mitte,#C56C46,Mitte
2379,JM,#C56C46,Mitte
2384,SVP,#4F7942,SVP
2408,EDU,#00008B,EDU
2412,Übrige,#888888,Übrige
2420,EVP,#FFA500,EVP
2421,Die Mitte,#C56C46,Mitte
2423,JM,#C56C46,Mitte
2432,JEVP,#FFA500,EVP
2433,EDU,#00008B,EDU
2439,Übrige,#888888,Übrige
2446,JUSO,#FF0000,SP
2447,EVP,#FFA500,EVP
2465,JM,#C56C46,Mitte
2468,JEVP,#FFA500,EVP
2475,Die Mitte,#C56C46,Mitte
2477,Parteilos,#888888,Übrige
2481,Grüne,#008000,Grüne
2482,FDP,#0000FF,FDP
