candidates,party_short,color,list
3796,JEVP,#FFA500,EVP
3798,GLP,#32CD32,GLP
3819,JM,#C56C46,Mitte
3829,Grüne,#008000,Grüne
3838,JG,#008000,Grüne
3846,Grüne,#008000,Grüne
3847,JUSO,#FF0000,SP
3856,EDU,#00008B,EDU
3863,Die Mitte,#C56C46,Mitte
3883,Parteilos,#888888,Übrige
3885,SVP,#4F7942,SVP
3897,EDU,#00008B,EDU
3898,SVP,#4F7942,SVP
3900,FDP,#0000FF,FDP
3908,Parteilos,#888888,Übrige
3911,JUSO,#FF0000,SP
3912,Übrige,#888888,Übrige
3932,SP,#FF0000,SP
3934,Die Mitte,#C56C46,Mitte
3951,Parteilos,#888888,Übrige
3953,JUSO,#FF0000,SP
3958,Übrige,#888888,Übrige
3961,GLP,#32CD32,GLP
3967,SP,#FF0000,SP
3974,SVP,#4F7942,SVP
3975,Grüne,#008000,Grüne
3982,Parteilos,#888888,Übrige
3984,Übrige,#888888,Übrige
3998,JFS,#0000FF,FDP
4000,Die Mitte,#C56C46,Mitte
4003,Die Mitte,#C56C46,Mitte
4012,SVP,#4F7942,SVP
4025,EVP,#FFA500,EVP
4029,JSVP,#4F7942,SVP
4030,Die Mitte,#C56C46,Mitte
4033,JM,#C56C46,Mitte
4037,Übrige,#888888,Übrige
4038,Parteilos,#888888,Übrige
4049,SP,#FF0000,SP
4062,JM,#C56C46,Mitte
4065,Übrige,#888888,Übrige
4083,GLP,#32CD32,GLP
4097,JSVP,#4F7942,SVP
4099,SVP,#4F7942,SVP
4100,SP,#FF0000,SP
4119,Parteilos,#888888,Übrige
4120,GLP,#32CD32,GLP
4122,SVP,#4F7942,SVP
4127,Die Mitte,#C56C46,Mitte
4138,EDU,#00008B,EDU
4139,JGLP,#32CD32,GLP
4146,SP,#FF0000,SP
4149,SVP,#4F7942,SVP
4153,EDU,#00008B,EDU
4156,SVP,#4F7942,SVP
4160,JUSO,#FF0000,SP
4161,JEVP,#FFA500,EVP
4164,GLP,#32CD32,GLP
4167,PdA,#888888,Übrige
4169,Übrige,#888888,Übrige
4176,JEVP,#FFA500,EVP
4179,SP,#FF0000,SP
4183,SP,#FF0000,SP
4184,GLP,#32CD32,GLP
4186,Übrige,#888888,Übrige
4202,JFS,#0000FF,FDP
4218,JEVP,#FFA500,EVP
4225,PdA,#888888,Übrige
4226,FDP,#0000FF,FDP
4240,JUSO,#FF0000,SP
4249,Grüne,#008000,Grüne
4257,GLP,#32CD32,GLP
4299,Die Mitte,#C56C46,Mitte
4312,JFS,#0000FF,FDP
4316,Die Mitte,#C56C46,Mitte
4319,FDP,#0000FF,FDP
4321,Übrige,#888888,Übrige
4322,Die Mitte,#C56C46,Mitte
4324,GLP,#32CD32,GLP
4325,Die Mitte,#C56C46,Mitte
4338,JM,#C56C46,Mitte
4345,JM,#C56C46,Mitte
