,FDP,GLP,EVP,Übrige,SP,Mitte,SVP,Grüne,EDU
1534298,0.0,2.7777777777777777,2.7777777777777777,55.55555555555556,0.0,16.666666666666664,2.7777777777777777,0.0,19.444444444444446
1534528,2.7777777777777777,8.333333333333332,19.444444444444446,8.333333333333332,0.0,52.77777777777778,2.7777777777777777,5.555555555555555,0.0
1534600,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
1534634,0.0,5.555555555555555,5.555555555555555,16.666666666666664,22.22222222222222,0.0,0.0,50.0,0.0
1534660,2.7777777777777777,5.555555555555555,8.333333333333332,13.88888888888889,0.0,63.888888888888886,2.7777777777777777,0.0,2.7777777777777777
1534742,0.0,0.0,0.0,5.555555555555555,5.555555555555555,0.0,0.0,88.88888888888889,0.0
1534757,2.7777777777777777,27.77777777777778,5.555555555555555,13.88888888888889,0.0,50.0,0.0,0.0,0.0
1534860,0.0,5.555555555555555,8.333333333333332,19.444444444444446,0.0,30.555555555555557,19.444444444444446,0.0,16.666666666666664
1534876,2.7777777777777777,0.0,0.0,2.7777777777777777,0.0,0.0,91.66666666666666,0.0,2.7777777777777777
1535129,13.88888888888889,11.11111111111111,13.88888888888889,16.666666666666664,0.0,33.33333333333333,5.555555555555555,2.7777777777777777,2.7777777777777777
1535138,0.0,8.333333333333332,0.0,5.555555555555555,19.444444444444446,5.555555555555555,0.0,61.111111111111114,0.0
1535319,22.22222222222222,13.88888888888889,0.0,5.555555555555555,0.0,22.22222222222222,36.11111111111111,0.0,0.0
1535430,0.0,11.11111111111111,22.22222222222222,11.11111111111111,0.0,52.77777777777778,0.0,2.7777777777777777,0.0
1535505,47.22222222222222,13.88888888888889,11.11111111111111,8.333333333333332,0.0,19.444444444444446,0.0,0.0,0.0
1535735,0.0,25.0,16.666666666666664,19.444444444444446,0.0,36.11111111111111,0.0,2.7777777777777777,0.0
1536061,0.0,0.0,0.0,5.555555555555555,41.66666666666667,0.0,0.0,52.77777777777778,0.0
1536090,0.0,11.11111111111111,0.0,8.333333333333332,13.88888888888889,2.7777777777777777,0.0,63.888888888888886,0.0
1536237,0.0,2.7777777777777777,0.0,11.11111111111111,5.555555555555555,0.0,0.0,80.55555555555556,0.0
1536329,0.0,0.0,47.22222222222222,19.444444444444446,8.333333333333332,16.666666666666664,0.0,8.333333333333332,0.0
1536390,88.88888888888889,0.0,0.0,8.333333333333332,0.0,0.0,2.7777777777777777,0.0,0.0
1536420,0.0,8.333333333333332,25.0,27.77777777777778,0.0,36.11111111111111,0.0,2.7777777777777777,0.0
1536445,25.0,11.11111111111111,5.555555555555555,13.88888888888889,0.0,11.11111111111111,25.0,0.0,8.333333333333332
1536610,0.0,0.0,2.7777777777777777,8.333333333333332,80.55555555555556,0.0,0.0,8.333333333333332,0.0
1536848,5.555555555555555,11.11111111111111,2.7777777777777777,22.22222222222222,0.0,47.22222222222222,2.7777777777777777,2.7777777777777777,5.555555555555555
1536945,0.0,16.666666666666664,2.7777777777777777,11.11111111111111,25.0,8.333333333333332,0.0,36.11111111111111,0.0
1537093,0.0,0.0,0.0,8.333333333333332,58.333333333333336,0.0,0.0,33.33333333333333,0.0
1537125,44.44444444444444,8.333333333333332,0.0,2.7777777777777777,0.0,16.666666666666664,27.77777777777778,0.0,0.0
1537201,0.0,2.7777777777777777,0.0,5.555555555555555,16.666666666666664,0.0,0.0,75.0,0.0
1537229,8.333333333333332,2.7777777777777777,0.0,16.666666666666664,0.0,19.444444444444446,30.555555555555557,0.0,22.22222222222222
1537279,0.0,11.11111111111111,25.0,8.333333333333332,19.444444444444446,16.666666666666664,0.0,19.444444444444446,0.0
1537478,0.0,2.7777777777777777,13.88888888888889,36.11111111111111,0.0,27.77777777777778,0.0,2.7777777777777777,16.666666666666664
1537722,5.555555555555555,0.0,0.0,5.555555555555555,0.0,5.555555555555555,52.77777777777778,0.0,30.555555555555557
1537780,0.0,25.0,16.666666666666664,8.333333333333332,22.22222222222222,8.333333333333332,0.0,19.444444444444446,0.0
1537797,0.0,0.0,2.7777777777777777,5.555555555555555,41.66666666666667,0.0,0.0,50.0,0.0
1537842,0.0,5.555555555555555,0.0,50.0,0.0,16.666666666666664,2.7777777777777777,0.0,25.0
1537850,0.0,33.33333333333333,11.11111111111111,2.7777777777777777,0.0,50.0,0.0,2.7777777777777777,0.0
1537970,2.7777777777777777,5.555555555555555,11.11111111111111,22.22222222222222,2.7777777777777777,33.33333333333333,13.88888888888889,0.0,8.333333333333332
1538027,2.7777777777777777,47.22222222222222,19.444444444444446,0.0,0.0,30.555555555555557,0.0,0.0,0.0
1538036,2.7777777777777777,88.88888888888889,0.0,2.7777777777777777,0.0,5.555555555555555,0.0,0.0,0.0
1538148,11.11111111111111,2.7777777777777777,0.0,16.666666666666664,0.0,5.555555555555555,47.22222222222222,0.0,16.666666666666664
1538180,0.0,2.7777777777777777,8.333333333333332,11.11111111111111,16.666666666666664,2.7777777777777777,0.0,58.333333333333336,0.0
1538215,88.88888888888889,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,2.7777777777777777
1538454,0.0,11.11111111111111,16.666666666666664,11.11111111111111,38.88888888888889,13.88888888888889,0.0,8.333333333333332,0.0
1538649,0.0,5.555555555555555,11.11111111111111,22.22222222222222,0.0,61.111111111111114,0.0,0.0,0.0
1538718,0.0,8.333333333333332,0.0,11.11111111111111,25.0,2.7777777777777777,0.0,52.77777777777778,0.0
1538720,61.111111111111114,16.666666666666664,0.0,0.0,0.0,19.444444444444446,2.7777777777777777,0.0,0.0
1538748,0.0,5.555555555555555,5.555555555555555,30.555555555555557,0.0,30.555555555555557,13.88888888888889,0.0,13.88888888888889
1538751,2.7777777777777777,27.77777777777778,8.333333333333332,11.11111111111111,0.0,41.66666666666667,0.0,8.333333333333332,0.0
1538805,0.0,0.0,0.0,5.555555555555555,30.555555555555557,0.0,0.0,63.888888888888886,0.0
1538830,5.555555555555555,0.0,0.0,88.88888888888889,0.0,0.0,5.555555555555555,0.0,0.0
1538866,0.0,11.11111111111111,16.666666666666664,30.555555555555557,2.7777777777777777,36.11111111111111,0.0,2.7777777777777777,0.0
1539004,2.7777777777777777,38.88888888888889,8.333333333333332,11.11111111111111,0.0,38.88888888888889,0.0,0.0,0.0
1539019,27.77777777777778,0.0,2.7777777777777777,8.333333333333332,0.0,8.333333333333332,41.66666666666667,0.0,11.11111111111111
1539085,0.0,0.0,0.0,8.333333333333332,41.66666666666667,0.0,0.0,50.0,0.0
1539097,0.0,5.555555555555555,8.333333333333332,19.444444444444446,0.0,61.111111111111114,2.7777777777777777,2.7777777777777777,0.0
1539236,58.333333333333336,13.88888888888889,5.555555555555555,2.7777777777777777,0.0,16.666666666666664,0.0,2.7777777777777777,0.0
1539260,61.111111111111114,0.0,0.0,5.555555555555555,0.0,5.555555555555555,22.22222222222222,0.0,5.555555555555555
1539332,0.0,0.0,0.0,5.555555555555555,0.0,0.0,83.33333333333334,0.0,11.11111111111111
1539335,66.66666666666666,0.0,2.7777777777777777,2.7777777777777777,0.0,25.0,2.7777777777777777,0.0,0.0
1539365,0.0,5.555555555555555,2.7777777777777777,0.0,88.88888888888889,0.0,0.0,2.7777777777777777,0.0
1539367,0.0,0.0,2.7777777777777777,8.333333333333332,55.55555555555556,2.7777777777777777,0.0,30.555555555555557,0.0
1539421,0.0,47.22222222222222,19.444444444444446,11.11111111111111,0.0,19.444444444444446,0.0,2.7777777777777777,0.0
1539443,2.7777777777777777,8.333333333333332,8.333333333333332,13.88888888888889,0.0,63.888888888888886,0.0,2.7777777777777777,0.0
1539593,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1539599,0.0,0.0,0.0,16.666666666666664,22.22222222222222,2.7777777777777777,0.0,58.333333333333336,0.0
1539809,0.0,13.88888888888889,8.333333333333332,2.7777777777777777,30.555555555555557,0.0,0.0,44.44444444444444,0.0
1540101,2.7777777777777777,22.22222222222222,5.555555555555555,2.7777777777777777,0.0,63.888888888888886,0.0,2.7777777777777777,0.0
1540109,0.0,11.11111111111111,0.0,2.7777777777777777,66.66666666666666,0.0,0.0,19.444444444444446,0.0
1540412,0.0,8.333333333333332,0.0,5.555555555555555,50.0,5.555555555555555,0.0,30.555555555555557,0.0
1540416,0.0,19.444444444444446,19.444444444444446,5.555555555555555,19.444444444444446,5.555555555555555,0.0,30.555555555555557,0.0
1540478,2.7777777777777777,5.555555555555555,19.444444444444446,11.11111111111111,8.333333333333332,33.33333333333333,2.7777777777777777,16.666666666666664,0.0
1540481,0.0,11.11111111111111,5.555555555555555,5.555555555555555,55.55555555555556,2.7777777777777777,0.0,19.444444444444446,0.0
1540653,0.0,0.0,0.0,8.333333333333332,0.0,0.0,91.66666666666666,0.0,0.0
1540660,0.0,27.77777777777778,16.666666666666664,11.11111111111111,30.555555555555557,0.0,0.0,13.88888888888889,0.0
1540682,0.0,0.0,0.0,5.555555555555555,5.555555555555555,0.0,0.0,88.88888888888889,0.0
1540809,2.7777777777777777,11.11111111111111,5.555555555555555,38.88888888888889,0.0,27.77777777777778,2.7777777777777777,0.0,11.11111111111111
1540821,0.0,5.555555555555555,16.666666666666664,41.66666666666667,0.0,27.77777777777778,0.0,0.0,8.333333333333332
1540858,33.33333333333333,2.7777777777777777,2.7777777777777777,13.88888888888889,0.0,25.0,22.22222222222222,0.0,0.0
1540958,0.0,16.666666666666664,16.666666666666664,13.88888888888889,5.555555555555555,41.66666666666667,0.0,5.555555555555555,0.0
1541024,0.0,22.22222222222222,0.0,5.555555555555555,44.44444444444444,0.0,0.0,27.77777777777778,0.0
1541109,0.0,11.11111111111111,13.88888888888889,27.77777777777778,5.555555555555555,22.22222222222222,8.333333333333332,2.7777777777777777,8.333333333333332
1541141,0.0,27.77777777777778,13.88888888888889,5.555555555555555,11.11111111111111,36.11111111111111,0.0,5.555555555555555,0.0
1541185,8.333333333333332,33.33333333333333,13.88888888888889,8.333333333333332,0.0,33.33333333333333,0.0,2.7777777777777777,0.0
1541241,0.0,0.0,0.0,8.333333333333332,58.333333333333336,0.0,0.0,33.33333333333333,0.0
1541346,0.0,52.77777777777778,5.555555555555555,2.7777777777777777,13.88888888888889,2.7777777777777777,0.0,22.22222222222222,0.0
1541350,8.333333333333332,0.0,2.7777777777777777,8.333333333333332,0.0,11.11111111111111,55.55555555555556,0.0,13.88888888888889
1541373,0.0,25.0,11.11111111111111,2.7777777777777777,38.88888888888889,0.0,0.0,22.22222222222222,0.0
1541448,2.7777777777777777,0.0,0.0,44.44444444444444,0.0,0.0,52.77777777777778,0.0,0.0
1541457,0.0,5.555555555555555,36.11111111111111,8.333333333333332,2.7777777777777777,44.44444444444444,0.0,2.7777777777777777,0.0
1541495,2.7777777777777777,16.666666666666664,11.11111111111111,30.555555555555557,0.0,36.11111111111111,0.0,0.0,2.7777777777777777
1541496,0.0,11.11111111111111,0.0,13.88888888888889,16.666666666666664,47.22222222222222,0.0,8.333333333333332,2.7777777777777777
1541743,0.0,11.11111111111111,8.333333333333332,16.666666666666664,8.333333333333332,11.11111111111111,0.0,44.44444444444444,0.0
1541796,5.555555555555555,2.7777777777777777,11.11111111111111,16.666666666666664,0.0,52.77777777777778,5.555555555555555,0.0,5.555555555555555
1541800,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1541817,2.7777777777777777,22.22222222222222,2.7777777777777777,19.444444444444446,0.0,38.88888888888889,5.555555555555555,0.0,8.333333333333332
1541852,0.0,2.7777777777777777,0.0,8.333333333333332,27.77777777777778,0.0,0.0,61.111111111111114,0.0
1541964,11.11111111111111,0.0,5.555555555555555,30.555555555555557,0.0,33.33333333333333,13.88888888888889,0.0,5.555555555555555
1542028,0.0,5.555555555555555,2.7777777777777777,11.11111111111111,61.111111111111114,5.555555555555555,0.0,13.88888888888889,0.0
1542083,0.0,5.555555555555555,5.555555555555555,8.333333333333332,52.77777777777778,0.0,0.0,27.77777777777778,0.0
1542180,0.0,8.333333333333332,5.555555555555555,8.333333333333332,52.77777777777778,2.7777777777777777,0.0,22.22222222222222,0.0
